ChannelTitle,Title,Published_date,Views,Likes,Comments
freecodecamp org,angry birds coding tutorial cs intro game development,2019-02-06,36242,524,23
freecodecamp org,css variables css tutorial day css days,2018-09-22,11543,257,11
freecodecamp org,loops beau teaches javascript,2017-03-13,95569,1795,85
alex analyst,k livestream analyst builder giveaways songs mom joining,2023-10-20,5144,240,11
alex analyst,consulting freelancing data analytics ata show episode,2023-10-17,16975,639,243
blue brown,paradox derivative chapter essence calculus,2017-04-29,3660706,91296,3655
freecodecamp org,secure api servers tutorial crash course server security,2024-09-16,28643,1266,25
freecodecamp org,youtube clone stack tutorial next js typescript tailwind css,2023-09-07,54373,1583,83
freecodecamp org,deep learning pytorch live course training deep neural networks gpus part,2020-06-06,43453,962,35
freecodecamp org,python everybody full university python course,2019-05-02,6950696,186199,4850
freecodecamp org,create secure free aws account,2018-07-12,8347,162,6
freecodecamp org,react project day live coding jesse,2017-08-07,2230,31,4
freecodecamp org,null vs undefined beau teaches javascript,2017-02-14,60543,894,44
alex analyst,google advanced data analytics professional certificate first look worth,2023-04-10,149424,4269,390
freecodecamp org,beginner python projects coding course,2020-12-09,4428193,117364,2322
freecodecamp org,build javascript projects vanilla javascript course,2020-06-09,3109041,68687,1406
freecodecamp org,hitchhiker guide tensorflow introduction machine learning tensorflow,2018-07-27,5094,109,3
freecodecamp org,using git wordpress p live coding jesse,2018-05-23,6708,80,5
freecodecamp org,freecodeconf greater toronto area,2017-11-18,7220,188,11
alex analyst,stored procedures mysql advanced mysql series,2024-03-26,51075,1084,46
blue brown,surface area sphere,2023-12-14,1868475,110994,492
freecodecamp org,get developer job even economy full course,2024-01-18,2791981,22183,730
freecodecamp org,python power leap year,2023-08-12,97332,4311,62
freecodecamp org,javascript functions crash course,2023-08-09,176803,5110,153
freecodecamp org,node react,2023-03-01,159800,7785,147
freecodecamp org,revit tutorial beginners building information modeling design course,2022-02-08,233900,5576,97
freecodecamp org,azure ai fundamentals certification ai full course pass exam,2021-06-17,359499,6460,318
freecodecamp org,serverless functions course create serverless api,2021-02-24,44482,1406,50
freecodecamp org,practical deep learning coders full course fast ai jeremy howard,2020-10-21,374984,12425,174
