ChannelTitle,Title,Published_date,Views,Likes,Comments
alex analyst,understanding data analyst salary offer know accepting,2022-02-01,21016,720,61
alex analyst,completely unrealistic jobs linkedin alex analyst show episode,2020-11-19,14495,569,205
freecodecamp org,build social media app django python web framework tutorial,2022-05-09,667464,14721,437
freecodecamp org,rust programming course beginners tutorial,2021-11-30,326945,6301,224
freecodecamp org,node js express course build projects,2021-10-14,1328778,27645,713
freecodecamp org,solidity blockchain smart contract course beginner expert python tutorial,2021-09-09,3486804,89503,5553
freecodecamp org,mysql database full course,2021-07-20,293985,7240,123
freecodecamp org,object oriented programming oop c course,2021-02-02,2571046,69904,2296
freecodecamp org,achieve reusability react components,2018-06-25,18712,256,6
freecodecamp org,data migration nodejs p live coding jesse,2017-12-07,3859,33,4
freecodecamp org,maths programmers sets interval notation common sets,2016-11-07,26554,380,4
blue brown,beyond mandelbrot set intro holomorphic dynamics,2021-10-16,1476967,43685,1486
alex analyst,k livestream,2023-06-28,6261,384,24
alex analyst,interviewing luke barousse arch nemesis fellow youtuber,2022-10-11,7395,330,31
freecodecamp org,special ed teacher turned sysadmin aws hero hiroko nishimura podcast,2024-08-23,16194,357,25
freecodecamp org,make wordpress blog website tutorial beginners,2022-11-17,115572,3092,122
freecodecamp org,micro frontends course beginner expert,2021-11-10,399679,9218,268
freecodecamp org,create instagram clone react tailwind css firebase tutorial,2021-04-19,394679,9183,571
freecodecamp org,modern layouts css tutorial day css days,2018-09-19,21206,358,17
freecodecamp org,boost web development efficiency,2018-07-19,4869,129,0
freecodecamp org,planning new react project p live coding jesse,2017-11-08,19736,223,13
freecodecamp org,building nav net p live coding jesse,2017-09-13,2814,47,0
freecodecamp org,load balancing ssl passthrough setup live coding jesse,2017-06-02,4169,32,0
blue brown,fundamental constant turbulence,2018-11-07,707898,25740,841
alex analyst,truth job song data analyst,2021-11-08,10857,892,106
alex analyst,longer data analyst turning pwc new job,2021-08-11,143201,4409,488
alex analyst,laptops data analysts specifications recommendations,2021-03-30,186958,4082,312
alex analyst,sql basics tutorial beginners select statements,2020-03-01,510528,7390,304
freecodecamp org,spread operator javascript,2024-07-04,16008,894,7
freecodecamp org,code kirby game browser typescript gamedev tutorial,2024-04-25,49044,1569,53
freecodecamp org,azure ai fundamentals certification ai full course pass exam,2024-02-21,184175,3729,204
freecodecamp org,linked lists technical interviews full course,2021-12-15,358755,10048,222
freecodecamp org,laravel php framework tutorial full course beginners,2019-05-07,2436451,33946,2601
freecodecamp org,bulma css framework complete tutorial,2018-06-01,128228,1704,100
freecodecamp org,recursion software development,2017-08-22,109186,1727,65
freecodecamp org,variables beau teaches javascript,2017-03-01,173507,1537,45
blue brown,three levels understanding bayes theorem,2024-01-17,76856,5950,21
blue brown,order chaos,2023-12-15,13721914,359623,2103
blue brown,split necklace puzzle surprise topological solution,2023-12-11,340603,21437,156
freecodecamp org,learn high level system design coding youtube full course,2024-06-11,113394,3608,121
freecodecamp org,next js tailwind css mongodb project tutorial ticketing app,2023-10-20,185244,3960,124
freecodecamp org,flutter course beginners hour cross platform app development tutorial,2022-02-24,2959901,62880,1887
freecodecamp org,pytorch monai ai healthcare imaging python machine learning course,2022-01-06,238422,7128,182
freecodecamp org,six quick python projects,2021-03-24,371168,7411,180
freecodecamp org,sql tutorial full database course beginners,2018-07-02,18623723,349249,11371
freecodecamp org,live deployment strategy session p live coding jesse,2018-05-21,1733,52,2
blue brown,summer math exposition,2021-07-16,726187,31253,1664
alex analyst,microsoft copilot full review ai word powerpoint excel,2024-02-06,78507,959,48
alex analyst,unions mysql intermediate mysql,2024-01-23,57671,1148,39
alex analyst,data analyst vs business analyst,2023-10-13,71626,4189,40
alex analyst,group aggregate functions pandas python pandas tutorials,2023-04-04,81531,2032,110
alex analyst,advanced sql tutorial stored procedures use cases,2021-03-16,427633,7588,195
freecodecamp org,scott hanselman learned podcast interviews devs podcast,2024-07-05,16320,317,19
freecodecamp org,nosql vs sql type database use,2022-09-13,105178,2908,74
